category,fish_key,fish_label,latest_year,latest_price,yoy_price,latest_qty,latest_amt,rank_amt
塩干,ぼうたら,ぼうたら,2024,5097.212930428672,0.014327730107941417,2846,14506668,30
塩干,ちくわ,ちくわ,2024,703.4259582896423,-0.08927522802637167,17166,12075010,31
塩干,うに製品,うに製品,2024,1499.526186579378,-0.16141761424409184,6110,9162105,32
塩干,みそ漬品,みそ漬品,2024,2271.1654265873017,0.4434183769845337,4032,9157339,33
塩干,桜干にしん,桜干にしん,2024,1026.7464250318562,0.034227519876159906,7063,7251910,34
塩干,桜干いわし,桜干いわし,2024,1435.900612843059,0.4024078062868941,3753,5388935,35
塩干,たづくり,たづくり,2024,2561.8843984962405,-0.034925004116400316,1064,2725845,36
塩干,煮干いわし,煮干いわし,2024,1044.960815047022,-0.11100969649911241,2552,2666740,37
塩干,開きたら,開きたら,2024,3151.8947368421054,0.2950363720865361,722,2275668,38
塩干,はむそーせーじ,ハムソーセージ,2024,1823.5298142717497,0.24779802308565202,1023,1865471,39
塩干,塩くらげ,塩くらげ,2024,1515.546218487395,-0.021250685747710163,833,1262450,40
塩干,かす漬たら,かす漬たら,2024,2557.8448979591835,-0.09605948229568884,245,626672,41
塩干,塩まだらこ,塩まだらこ,2024,2462.4,0.2870967741935484,60,147744,42
塩干,ぬか漬ふぐ,ぬか漬ふぐ,2024,2489.4,0.04508816120906811,20,49788,43
塩干,塩にしん,塩にしん,2024,1010.88,0.56,25,25272,44
塩干,ぬか漬いわし,ぬか漬いわし,2024,1380.857142857143,0.02285714285714291,14,19332,45
塩干,かす漬ふぐ,かす漬ふぐ,2024,2700.0,0.020408163265306145,6,16200,46
塩干,皮くじら,皮くじら,2024,945.0,-0.5573770491803278,12,11340,47
冷凍魚,冷凍えび,冷凍えび,2024,1486.1477737385987,-0.08113178952194178,2790171,4146606420,1
冷凍魚,冷凍かに,冷凍かに,2024,3158.6459413063026,0.050967579725061274,733980,2318382948,2
冷凍魚,冷凍かい,冷凍かい,2024,2300.2458943765528,0.1190269340757717,954788,2196247177,3
冷凍魚,冷凍するめいか,冷凍するめいか,2024,1337.4227618370007,0.09063751737836578,1142667,1528228855,4
冷凍魚,その他冷凍魚,その他　冷凍魚,2024,1384.2144487146768,0.06020458870531953,936457,1296257310,5
冷凍魚,冷凍さけ,冷凍さけ,2024,1486.552868630264,-0.0879924474584497,833708,1239351019,6
冷凍魚,冷凍まぐろ,冷凍まぐろ,2024,2972.7353020334926,-0.16095204410684305,200640,596449611,7
冷凍魚,冷凍うなぎ,冷凍うなぎ,2024,3841.2628491840705,-0.07659130456011098,139289,535045661,8
冷凍魚,冷凍かじき,冷凍かじき,2024,1105.8938231904701,0.00728459657702496,327143,361785423,9
冷凍魚,冷凍たこ,冷凍たこ,2024,2090.8599707896683,0.031213001193451273,171857,359328922,10
冷凍魚,冷凍もんこういか,冷凍もんこういか,2024,1920.4793027617877,0.14541072082228856,123688,237540244,11
冷凍魚,冷凍食品その他,冷凍食品　その他,2024,617.9204760690116,-0.05611273924823068,368518,227714818,12
冷凍魚,冷凍ぎんだら,冷凍ぎんだら,2024,1520.5769116481774,-0.04598352224687541,141344,214924423,13
冷凍魚,冷凍さば,冷凍さば,2024,715.3449854020358,0.3736503818144161,266133,190376907,14
冷凍魚,冷凍かれい,冷凍かれい,2024,1017.9107941203034,0.05676306186600466,177152,180324933,15
冷凍魚,冷凍食品切身,冷凍食品　切身,2024,1218.1458891851148,0.06230196100839991,134657,164031871,16
冷凍魚,冷凍あかうお,冷凍あかうお,2024,852.2053854573008,0.06104211849880681,142532,121466538,17
冷凍魚,冷凍食品ふらい,冷凍食品　フライ,2024,1209.9620852070502,0.35019150064869153,93842,113545262,18
冷凍魚,冷凍やりいか,冷凍やりいか,2024,2038.0332802027922,0.12467722078867882,52073,106126507,19
冷凍魚,冷凍あじ,冷凍あじ,2024,661.325188224461,0.017255879272169983,147696,97675085,20
冷凍魚,冷凍たら,冷凍たら,2024,1045.1466073874383,-0.061209933280194195,91994,96147217,21
冷凍魚,冷凍たい,冷凍たい,2024,1415.5883298392732,-0.08817788693782369,28620,40514138,22
冷凍魚,冷凍ほっけ,冷凍ほっけ,2024,791.9006769787853,0.1588511198562479,50814,40239641,23
冷凍魚,冷凍食品開き,冷凍食品　開き,2024,1878.472215653819,0.20936799724824073,16916,31776236,24
冷凍魚,冷凍すりみ,冷凍すりみ,2024,646.0693766222339,-0.01191688938170088,45462,29371606,25
冷凍魚,冷凍さんま,冷凍さんま,2024,827.4416034560708,0.0277568918969624,19907,16471880,26
冷凍魚,冷凍めるるーさ,冷凍メルルーサ,2024,1118.2043943336225,-0.05161004883423337,6918,7735738,27
冷凍魚,冷凍おひょう,冷凍おひょう,2024,6366.837476099427,-0.25934834791968964,1046,6659712,28
冷凍魚,冷凍にしん,冷凍にしん,2024,274.30073050172786,0.10912718831459034,22861,6270789,29
冷凍魚,冷凍くじら,冷凍くじら,2024,2673.355788096795,-0.025922245620188855,1529,4087561,30
冷凍魚,冷凍めろー,冷凍メロー,2024,2024.15625,-0.029740077653149233,640,1295460,31
冷凍魚,冷凍しらうお,冷凍しらうお,2024,1949.6655737704918,0.033857302007609835,610,1189296,32
