year,fish_key,fish_label,top_amt_origin_pref,top_amt_amt,top_amt_qty,top_amt_price,top_qty_origin_pref,top_qty_qty,top_qty_amt,top_qty_price
2000,塩さば,塩さば,千葉県,173243791,399222,433.9535170907415,千葉県,399222,173243791,433.9535170907415
2000,塩するめ,塩するめ,富山県,29352176,29747,986.7272666151208,富山県,29747,29352176,986.7272666151208
2000,塩だら,塩だら,宮城県,5579933,13972,399.36537360435153,宮城県,13972,5579933,399.36537360435153
2000,塩にしん,塩にしん,北海道,23100,25,924.0,北海道,25,23100,924.0
2000,塩ます,塩ます,北海道,154040259,494282,311.64448432271456,北海道,494282,154040259,311.64448432271456
2000,塩まだらこ,塩まだらこ,宮城県,148050,150,987.0,宮城県,150,148050,987.0
2000,干するめ,干するめ,東京都,30166133,25010,1206.1628548580568,富山県,32078,22703118,707.7473034478459
2000,干はたはた,干はたはた,兵庫県,73081636,70208,1040.9303213309024,兵庫県,70208,73081636,1040.9303213309024
2000,干ふぐ,干ふぐ,長崎県,81208000,31993,2538.3052542743726,福岡県,49957,49697891,994.8133594891607
2000,干ぶり,干ぶり,富山県,58611,28,2093.25,宮城県,66,18585,281.59090909090907
2000,桜干いわし,桜干いわし,千葉県,5804148,4442,1306.6519585772176,千葉県,4442,5804148,1306.6519585772176
2000,桜干にしん,桜干にしん,山口県,3668112,5830,629.178730703259,山口県,5830,3668112,629.178730703259
2000,煮干いかなご,煮干いかなご,東京都,12023657,10814,1111.8602737192527,東京都,10814,12023657,1111.8602737192527
2000,煮干いわし,煮干いわし,東京都,27521351,25265,1089.307381753414,東京都,25265,27521351,1089.307381753414
2000,生くじら,生くじら,和歌山県,150402,43,3497.720930232558,和歌山県,43,150402,3497.720930232558
2000,白皮かじき,白皮かじき,大阪府,98824990,82327,1200.395860410315,大阪府,82327,98824990,1200.395860410315
2000,皮くじら,皮くじら,宮城県,6689233,3917,1707.7439366862395,宮城県,3917,6689233,1707.7439366862395
2000,身欠にしん,身欠にしん,北海道,216207886,322844,669.6977053933169,北海道,322844,216207886,669.6977053933169
2000,開きあじ,開きあじ,静岡県,112248014,146576,765.800772295601,静岡県,146576,112248014,765.800772295601
2000,開きさば,開きさば,島根県,5131182,5286,970.7116912599319,島根県,5286,5131182,970.7116912599319
2000,開きたら,開きたら,北海道,29896662,19445,1537.4986886088968,北海道,19445,29896662,1537.4986886088968
2000,養殖はまち,養殖はまち,三重県,5759586,4305,1337.8829268292684,三重県,4305,5759586,1337.8829268292684
2000,養殖ぶり,養殖ぶり,鹿児島県,1059927311,897303,1181.2367851216368,鹿児島県,897303,1059927311,1181.2367851216368
2000,養殖わらさ,養殖わらさ,京都府,6110568,5296,1153.8081570996978,京都府,5296,6110568,1153.8081570996978
2000,魚介つくだに,魚介つくだに,兵庫県,33046042,61229,539.712260530141,兵庫県,61229,33046042,539.712260530141
2000,黒皮かじき,黒皮かじき,和歌山県,29828710,59964,497.4436328463745,和歌山県,59964,29828710,497.4436328463745
2001,あからばちめ,あからばちめ,北海道,188564355,400836,470.4276936203335,北海道,400836,188564355,470.4276936203335
2001,あさり,あさり,愛知県,220413912,652967,337.55750596890806,愛知県,652967,220413912,337.55750596890806
2001,あなご,あなご,島根県,23738726,25446,932.905997013283,島根県,25446,23738726,932.905997013283
2001,あまえび,あまえび,北海道,475908182,251141,1894.9840209284823,石川県,265962,443991276,1669.3786179980598
2001,あゆ,あゆ,徳島県,185211102,143999,1286.1971402579184,徳島県,143999,185211102,1286.1971402579184
2001,あら,あら,東京都,44345033,34413,1288.6128207363497,東京都,34413,44345033,1288.6128207363497
2001,あわび,あわび,宮城県,182433456,19153,9525.059050801441,宮城県,19153,182433456,9525.059050801441
2001,あんこう,あんこう,石川県,66964927,82901,807.7698338982642,石川県,82901,66964927,807.7698338982642
2001,いくら,いくら,北海道,497940259,112665,4419.653477122442,北海道,112665,497940259,4419.653477122442
2001,うなぎ,うなぎ,愛知県,193434286,177216,1091.5170526363308,愛知県,177216,193434286,1091.5170526363308
2001,うに,うに,北海道,292041722,17556,16634.8668261563,東京都,28479,193480996,6793.812844552126
2001,うに製品,うに製品,北海道,19278381,18156,1061.8187376074025,北海道,18156,19278381,1061.8187376074025
2001,うるめいわし,うるめいわし,石川県,10160842,50256,202.18166985036612,石川県,50256,10160842,202.18166985036612
2001,かいみぬき,かいみぬき,兵庫県,28425036,8901,3193.465453319852,兵庫県,8901,28425036,3193.465453319852
2001,かき,かき,石川県,279591335,305611,914.8601817342962,石川県,305611,279591335,914.8601817342962
2001,かす漬たら,かす漬たら,宮城県,4111962,18783,218.91934195815364,宮城県,18783,4111962,218.91934195815364
2001,かす漬ふぐ,かす漬ふぐ,石川県,965984,269,3591.0185873605947,石川県,269,965984,3591.0185873605947
2001,かたくちいわし,かたくちいわし,三重県,2745599,20611,133.2103731017418,三重県,20611,2745599,133.2103731017418
2001,かつお,かつお,宮城県,52308231,89997,581.2219407313577,宮城県,89997,52308231,581.2219407313577
2001,かながしら,かながしら,福井県,2578120,5887,437.9344317988789,島根県,8183,2335516,285.41072956128556
2001,かます,かます,長崎県,36357534,53481,679.8215067033152,富山県,66767,31358753,469.6744349753621
2001,かまぼこ,かまぼこ,石川県,63173331,71775,880.157868338558,石川県,71775,63173331,880.157868338558
2001,かれい,かれい,石川県,628936259,817287,769.5414939917067,石川県,817287,628936259,769.5414939917067
2001,かわはぎ,かわはぎ,石川県,128999101,202287,637.7033669983736,石川県,202287,128999101,637.7033669983736
2001,かんぱち,かんぱち,三重県,473456442,385396,1228.493398997395,三重県,385396,473456442,1228.493398997395
2001,きす,きす,石川県,19116349,10691,1788.0786642970722,石川県,10691,19116349,1788.0786642970722
2001,こうばこがに,こうばこがに,兵庫県,315562627,108794,2900.5517491773444,兵庫県,108794,315562627,2900.5517491773444
2001,このわた,このわた,石川県,26860740,3212,8362.621419676214,石川県,3212,26860740,8362.621419676214
2001,こんぶ,こんぶ,三重県,8605179,18855,456.3871121718377,三重県,18855,8605179,456.3871121718377
2001,さけ,さけ,宮城県,209208877,385092,543.2698601892534,宮城県,385092,209208877,543.2698601892534
2001,さば,さば,石川県,154335498,336962,458.0204830218244,石川県,336962,154335498,458.0204830218244
2001,さめ,さめ,石川県,270862,611,443.30932896890346,北海道,875,191989,219.416
2001,さより,さより,千葉県,29556312,16469,1794.6634282591535,石川県,22329,25932138,1161.3658471046622
2001,さわら,さわら,石川県,29889704,27484,1087.5310726240723,福岡県,31672,14008929,442.3127368022228
2001,さんま,さんま,北海道,245674708,490625,500.73825834394904,北海道,490625,245674708,500.73825834394904
2001,しいら,しいら,高知県,3552295,20363,174.44850955163778,高知県,20363,3552295,174.44850955163778
2001,しおから,しおから,宮城県,36380991,31777,1144.8843817855682,北海道,37819,23459452,620.3086279383378
2001,しじみ,しじみ,島根県,206854120,323490,639.4451760487186,島根県,323490,206854120,639.4451760487186
2001,しらうお,しらうお,宮城県,7396935,1105,6694.058823529412,宮城県,1105,7396935,6694.058823529412
2001,しらこ,しらこ,北海道,212135275,208105,1019.3665457341247,北海道,208105,212135275,1019.3665457341247
2001,すき身,すき身,福井県,64809060,98509,657.8998873199403,福井県,98509,64809060,657.8998873199403
2001,すけこ,すけこ,宮城県,379963348,142923,2658.517859266878,宮城県,142923,379963348,2658.517859266878
2001,すけそうだら,すけそうだら,北海道,81098695,188308,430.67047071818513,北海道,188308,81098695,430.67047071818513
2001,すじこ,すじこ,宮城県,44697362,22791,1961.1847659163705,宮城県,22791,44697362,1961.1847659163705
2001,すずき,すずき,愛媛県,55160199,49653,1110.9137212253036,三重県,84106,42739536,508.1627470097258
2001,すだこ,すだこ,北海道,70575914,40075,1761.0957953836557,北海道,40075,70575914,1761.0957953836557
2001,するめいか,するめいか,青森県,176277139,704853,250.09064159477225,青森県,704853,176277139,250.09064159477225
2001,ずわいがに,ずわいがに,北海道,2639921527,2104577,1254.3715563745113,北海道,2104577,2639921527,1254.3715563745113
2001,その他あじ,その他あじ,三重県,28946773,23543,1229.5278001953873,三重県,23543,28946773,1229.5278001953873
2001,その他いか,その他いか,福岡県,194730629,103480,1881.8189891766524,宮城県,274765,154229610,561.3146143067712
2001,その他えび,その他えび,愛知県,95358955,48318,1973.5699946189825,石川県,84346,69957410,829.409930524269
2001,その他かい,その他かい,北海道,191385196,245299,780.2118883485053,宮城県,272711,172999976,634.3710961420699
2001,その他かに,その他かに,北海道,617136043,551903,1118.1965725861248,北海道,551903,617136043,1118.1965725861248
2001,その他冷凍魚,その他　冷凍魚,東京都,364144277,340152,1070.5339877466545,石川県,2305574,287092577,124.52108542167807
2001,その他塩干加工品,その他塩干加工品,三重県,312318683,296133,1054.6568028554736,三重県,296133,312318683,1054.6568028554736
2001,その他桜干,その他桜干,島根県,89658483,62416,1436.4663387592925,山口県,156236,86278992,552.2350290586037
2001,その他淡水魚,その他淡水魚,鹿児島県,33955868,9528,3563.798068849706,宮崎県,21969,2995706,136.36059902590014
2001,その他魚介漬物,その他魚介漬物,北海道,52802782,52364,1008.3794591704225,宮城県,102458,50284155,490.7782213199555
2001,その他鮮魚,その他鮮魚,長崎県,155541517,62582,2485.4034227094053,石川県,160416,136414628,850.3804358667464
2001,たい,たい,石川県,502657284,504935,995.4890906750373,石川県,504935,502657284,995.4890906750373
2001,たいはくちりめん,たいはくちりめん,愛知県,69725491,60496,1152.563657101296,愛知県,60496,69725491,1152.563657101296
2001,たこ,たこ,茨城県,108083459,118888,909.1200037009622,石川県,125161,86527632,691.3306221586596
2001,たちうお,たちうお,和歌山県,47034386,62731,749.7789928424543,和歌山県,62731,47034386,749.7789928424543
2001,たづくり,たづくり,富山県,11791008,8037,1467.090705487122,富山県,8037,11791008,1467.090705487122
2001,ちくわ,ちくわ,石川県,148648005,213899,694.944833776689,石川県,213899,148648005,694.944833776689
2001,つばす,つばす,神奈川県,13802342,42884,321.852952149986,富山県,47034,6599928,140.32249011353488
2001,とびうお,とびうお,鹿児島県,29602180,46185,640.9479268160658,福井県,71076,8847770,124.48322921942709
2001,どじょう,どじょう,千葉県,23599682,18325,1287.840763983629,千葉県,18325,23599682,1287.840763983629
2001,なまこ,なまこ,石川県,55766195,60490,921.9076706893701,石川県,60490,55766195,921.9076706893701
2001,にぎす,にぎす,石川県,93014126,259313,358.6944194853324,石川県,259313,93014126,358.6944194853324
2001,にしん,にしん,宮城県,5885734,26590,221.3514103046258,宮城県,26590,5885734,221.3514103046258
2001,ぬか漬いわし,ぬか漬いわし,石川県,324928,182,1785.3186813186812,石川県,182,324928,1785.3186813186812
2001,ぬか漬にしん,ぬか漬にしん,北海道,278394,443,628.4288939051919,北海道,443,278394,628.4288939051919
2001,ぬか漬ふぐ,ぬか漬ふぐ,石川県,407359,317,1285.044164037855,石川県,317,407359,1285.044164037855
2001,はたはた,はたはた,石川県,188907953,306362,616.6167899413113,石川県,306362,188907953,616.6167899413113
2001,はまぐり,はまぐり,三重県,298889942,660200,452.72635867918814,三重県,660200,298889942,452.72635867918814
2001,はまち,はまち,千葉県,223003902,516611,431.6669641180695,千葉県,516611,223003902,431.6669641180695
2001,はむそーせーじ,ハムソーセージ,静岡県,6947741,7781,892.9110654157563,静岡県,7781,6947741,892.9110654157563
2001,ばいがい,ばいがい,鳥取県,328071030,422797,775.9540157569709,鳥取県,422797,328071030,775.9540157569709
2001,ひらまさ,ひらまさ,長崎県,58766880,64500,911.1144186046512,長崎県,64500,58766880,911.1144186046512
2001,ひらめ,ひらめ,愛媛県,154027825,58054,2653.1819512867332,愛媛県,58054,154027825,2653.1819512867332
2001,ふぐ,ふぐ,山口県,60319901,17577,3431.751777891563,石川県,56367,30842901,547.180105380808
2001,ぶり,ぶり,石川県,115424668,70919,1627.5563389218687,三重県,73747,73146785,991.8611604539846
2001,べにずわいがに,べにずわいがに,北海道,55716938,182111,305.950425839186,北海道,182111,55716938,305.950425839186
2001,ほうぼう,ほうぼう,石川県,9319102,27299,341.3715520715044,石川県,27299,9319102,341.3715520715044
2001,ぼうたら,ぼうたら,北海道,59445162,13670,4348.585369422092,北海道,13670,59445162,4348.585369422092
2001,ぼら,ぼら,三重県,3150739,12671,248.6574855970326,三重県,12671,3150739,248.6574855970326
